post	target	implied_statement
" otherwise you hear these same black people . that are ment to represent you ... say you are an  "" uncle tom "" ""  race traitor and you know what els """	Blacks	Blacks turn on their own people.
please forward to all known white patriots : 26 . 05 . 2012 . white unity gig with us  german  slovak and hungarian bands	white people	White people need to unite.
or white genocide	Minorities	Minorities advocate for the end of white culture
#charlottesville a day that will go down in white history	Minorities	Minorities are inferior
im an american citizen who organizes, includes, & works with americans of all races + walks of life to defend this nation against slime ball illegal immigration cheerleaders like you. millions in the usa have heard my voice and messages and there's nothing you can do to stop me.	IMMIGRANTS	IMMIGRANTS ARE SLIME BALLS
jews and white nationalism go together like fire & diarrhea . #tcot #cuckservative	Jews	Jews are not like white nationalists.
the extermination of the white race : facts about britain and non-white immigration | more :	white people	White people are becoming the minority.
translated : milo realizes as a jew he will not be included in white identity politics and would be a minority	Jews	Jews are not white.
mexico's president is the racist sending the mountain people to us ever seen a tall white skinned mexican jumping the fence	Immigrants	Immigrants are invading America
i thought whites were destroying the planet by using these evil resourcesmake up your mind	White folks	White folks destroyed the planet.
" african  "" refugee "" "" was only here nine days before raping a woman | full story : """	Immigrants	Immigrants are rapists
i lived there it was fine you are just a scared white dude	White people	White people are afraid
white genocide in america 1960-2060 #swrm #whitegenocide #america via	white people	White people should die.
all daca recipients, except those in the service must be deported. thats what we voted fornot negotiable. lets concentrate on american dreamers for a change	Immigrants	Immigrants from daca have to be deported
oh goodie! more unwanted babies, just what the world needs. celebrate!	Immigrants	Immigrants have unwanted babies
violate federal law, go to jail! round them up, ! do your job!	Immigrants	Immigrants break the law
but after last night  white self hating baby boomers are trying to make there ca	Progressives	Progressives hate whites
islamophobia ? what do these people expect when they kill us and fly airplanes into our buildings ?	Islamic people	Islamic people are killers.
america you can't coexist with people who want to kill you ! #rt #stopislam #stopjihad #nosharia #nopc	Islamic people	Islamic people are killers.
according to the #white house  june is lgbt pride month . i'm a white southern christian . can i be proud of that ?	LGBT community	LGBT individuals draw attention to themselves
ps get deported maybe new rule no legal way back in !	Illegal immigrants	Illegal immigrants are less than citizens.
humans must give up primitive food like meat of dog or beef or camel or donkey etc	Asian folks	Asian people are primitive beings because they only eat exotic foods
this isn't about immigration  it's about brown color & stupid ignorant racist on the alt right . many of the racist have christian on profile	Christians	Christians are racist
this sounds like a kid caught in a lie . also do left-wing activists use the word cuck alot ?	Liberals	Liberals are dishonest.
this is the second time in american history white man is minority . america is not white man's homeland . go back to europe .	white people	White people should go back to Europe.
it will keep the ones out that can't afford a plane or a boat	Immigrants	Immigrants are poor
do white lives have any value ? your thoughts ?	Minorities	Minorities deride whites as a race.
that is what #diversity is . erasing and replacing white people .	white people	White people are a minority.
" be an  "" anti-globalist  "" "" support globalist agenda of mass immigration  open borders  genocide of whites . """	Progressives	Progressives foster the annihilation of the white race
jobs black people hate :	black people	Black people hate to work.
behind mongrelization of white	non-white people	non-white people dilute the gene pool
so you'd like to have your own land of white christians  is that the end-game goal ?	white Christians	White Christians want their own country.
white women signaling they were wrong about feminism.white births a us majority again via	Feminism	Feminism degrades society
how do you explain the thousands of incidents of white on white domestic violence per year ? interracial dating ?	white people	White people don't like other white people.
"  "" jews "" "" are white  if a "" "" jew "" "" didn't tell you that they were "" "" jewish "" "" you'd think they're white for the most parts ... """	minorites	minorities are inferior
gay is normal to sick liberals trans gay marriage all normal we're attacked by evil muslims that want to kill all of us & to liberals	Liberals	Liberals are twisted.
you would never ask a question like this to a charity specifically contributing to jews or those in india  asia  or africa . you know is based on building up european americans . there is absolutely nothing wrong with that and they owe nobody an explanation .	Minorities	Minorities get special privilege.
let's organize a #buildthewall standoff protest in washington the biggest and boldest protest by whites ever	Immigrants	Immigrants bring down society
make him serve it in a hog pen. ferret out all these scumbags and send em all back where they came. s	Immigrants	Immigrants are illegal and should go back where they come from.
danish prime minister warns of emergence of muslim parallel societies  no-go zones |	Muslims	Muslims are separatists.
#narendramodi is making india proud . he loves his country & fights for it . #rajdeepsardesai is ashamed to be indian ( & hindu ) & belittles it	Progressive Indians	Progressive Indians hate hindus.
white people built great societies where no non-whites were involved . europe was 100 % white for millennia . white nationalism works .	white nationalism	White nationalism works.
" to be fair ( i support  "" european "" "" ethnic survival )  there is the same thing among some "" "" whites "" "" to blacks . """	Minorities	Minorities are inferior to whites
let's be a white resister : because the beauty of the white aryan woman must not perish from the earth !	white women	White women are beautiful.
they have guns? use them you assholes!	Immigrants	Immigrants should be shot down.
#antifa is #isis #isis is #cnn #cnn is #ciasmash !	Leftists	Leftists support terrorism
keep kicking and braying for me donkey!	Not specified	the group are angry.
" uk's births are 65 %  "" white british "" ""  majority ethnic english  alabama's are 60 % white  majority ethnic """	White people	White race is decreasing
: i have seen immense hate coming from a lot of the lgbt community . let's please designate these people	LBGT	LBGT supporters are haters.
deport these uneducated ppl who pull our welfare benefits our food stamps,somehow there able to get homes?if theyralowed2staywebcum3rdwcntry	Immigrants	Immigrants are lazy
then how will blacks become edumacated ?!	blacks folks	black folks are  not educated.
. islamic reformists are free to attempt the impossible.meanwhile  west must de-islamise  before it's too late .	Muslims	Muslims are a threat
i'm a red white and blue nationalisteat your heart out you old scumbag . #hillarysucks	Progressives	Progressives are substandard human beings
you must hate white kids if you don't want them to have a home that reflects their roots and identity .	Minorities	Minorities are less than whites.
putin discusses the impending genocide of the white race	Whites	Whites are racist
nope the uk i'm from was all white different sub groups of white but still homogenous white are achievements are white .	non-white people	non-white people are unaccomplished
it's simple folks islam is evil. it has nothing to offer our civilization. my space will remain a 100% islam free zone as long as i live	Muslims	Muslims believe in an evil religion.
& muz b'hood = hate . these ppl want to kill us & destroy our way of life . must be classified as terror org . ban sharia law . god bless	Muslims	Muslims destroy other religious people
what does she mean ? she is white . they hate white ppl . they hate themselves . why would you reproduce mo	Whites	Whites are self-hating
norway : town of 40 to get 550 refugees ! village not happy . in tibet they call this genocide	Immigrants	Immigrants are invaders
the end of a myth : most new serial killers in america are not white males | more : via	non-white people	non-white people are dangerous
a small list of obama's lies . you expected more ? obama's list of lies grows each day obama is in office . #tcot #tlot	Liberals	Liberals are liars
we must learn from #history to be successful in our bid for #freedom #peace & #justice ( national-socialism ):	Minorities	Minorities are inferior races
and wealthy whites will have to go with us or risk having the marxists confiscate all of their wealth to give to -	Minorities	Minorities are communists
100% of liberal want them banned, too. jihadi-justin os working on it. don't worry. m103 was just the beginning.	Liberals	Liberals want Muslims banned
( ( ( hello my fellow white people . ) ) )	Jews	Jews are not white
congress needs to pass laws making it illegal to release illegals into the local population without notifying ice.	Immigrants	Immigrants don`t deserve to live with local people
using your #racist logic  since all the mass murders were by white people  they need to be disarmed . #racism	white people	White people are mass murderers.
why didn't obama cry when colleen hufford was beheaded in oklahoma ? oh wait she was white and the killer was a black racist muslim !	white people	Violence against white people is okay.
germany : non-white in one generation #swrm #germany #nonwhite #stopimmigration #merkelstanddown via	immigrants	Immigrants are bad.
stay white friend . stay white . hopefully your uncle ruckus will come for the holidays !	Minorities	Minorities are subpar races.
" pretty much . the double standard is absolutely appalling . every single one of them always say  "" we should help everyone "" "" in theory  but this is only going one way . non-whites help their own and whites do not help our own . we're done with that . """	Minorities	Minorities are selfish.
austria is one of first to get smart about creeping islam . rest of europe should build more hospitals or deport !	muslims	muslims are violent
pathological altruism . the nail in the coffin for the white race .	Whites	Whites are too nice
atheist  marxist  communist  are child molester sodomites . that is the fuhrer adolf hitler victimized	Germans	Germans are victimized.
why is #whitelivesmatter racist ? it isn't ...	Black people	Black people are needy
also  what makes mn illegals special is that they hate you and hate america . but you insist on paying for them .	Illegal aliens	Illegal aliens hate America.
holy cow, get some education guys!	Immigrants	Immigrants have no education
mexicans and mestizos aren't white . spaniards are white .	Mexicans and Mestizos	Mexicans and Mestizos are inferior
you really should denounce your white privilege  lol	white people	White people are priveleged.
#whitegenocide = white revolution is the only solution #standupwhiteman #14words	white people	White people need to unite.
white european ancestors have been proven to be in america before your ancestors arrived here ! new scientific proof ! read up on it !	Minorities	Minorities claim rights undue to them.
our heroes will never be theirs . multiculturalism is a hoax . hail white america .	non-white people	non-white people are inferior
i really only care about preserving white countries .	white people	White people should survive.
yes those arabs raped white women in their slavetrade . we all know about jews and slaves .	Arabians	Arabians are rapists.
where can i get a kkk hat for when im driving to the ghetto of my town	non-white people	non-white people deserve oppression
our immigration policy is run by white eugenics goons from cis and  they are in wh  dhs and want america to be white .	Immigrants	Immigrants are hated by white people
. what if one of those animals is gay or belongs to a jewish family? is it still cruel?	Jews	Jews are gay and are like animals
white power south georgia has your back	White people	White people are superior.
white countries no more ... this is #whitegenocide	Immigrants	Immigrants want to displace white people
"  "" invaders "" "" ? since when are white people indigenous to north america ? """	Whites	Whites are dishonest in their arguments.
: whites tend to wait until the eleventh hour  when its time to circle the wagons the	non-white people	non-white people are enemies
and look at california now . a hispanic state wanting to secede .	Hispanics	Hispanics are taking over America
majority of american citizens want the wall  and immigration laws enforced . it's been said again and again . let trump keep his promise .	immigrants	immigrants are illegal aliens
: worse  metro atlanta from clayton to rockdale and increasingly cobb and dekalb are black hellholes .	Blacks	Blacks destroy their communities
you'd think a jew would be more sensitive about people getting gassed .	Jews	Jews are hypocrites
the whole point of conservatism is to suppress white racial consciousness .	non-white people	non-white people are inferior
bill warner  phd : moderate muslims cannot save us #foxnews #cnn #abcnews #kafir	Muslims	Muslims are radicals
just don't allow any in and start hiring our american people to do the jobs .	immigrants	Immigrants are taking American jobs.
zuckerberg's dream : the anti-white racist social network via the jew behind this rt	Jews	Jews are devious
" human history is a tale of  "" who ? whom ? "" "" i am for my side . ( and the only reason you think slavery is wrong is bc some white men decided it was . no one had moral objections to slavery prior to the 19th century  excepting some quakers . and no jefferson didn't screw sally hemmings ) """	whites	whites are racists
obama declares war on white people seeking jobs or education  wants to increase anti-white racial quotas : #sotu	White	White people are hated by Obama
i'm sure they will protect a gay jew .	Gays	Gays are inferior.
if our official policy is that illegals are exempt from following the law, shouldn't citizens get a freebie?	immigrants	Immigrants don't follow the law.
what have blacks built?	Black folks	Black folks built nothing.
: ernst zndel : the hitler we loved and why via	Jews	Jews are devious
dumbass is one word. you're* you can't even use the english language correctly. let me guess, your aunt is also your mother?	Immigrants	Immigrants are idiots and illiterate
" radical muslims will try to kill you .  "" moderate "" "" muslims try to kill your culture . that is jihad . """	Muslims	Muslims are killers.
yes, we do . want them thrown out. i dont care if they r all jose einsteins. r illegal and constitution, ours at least. says out they go.	immigrants	immigrants should be deported even if they make contributions to society
send the illegals back.the parents should have entered legally.mexico will take them back .	Immigrants	Immigrants are criminals
if a politician won't say outright he is for the white race  its because he isn't ! vote right / vote white !	white people	White people are the right race.
i get it . asia for the asians . africa for the africans . white countries for every	Minorities	Minorities exclude whites
"here you go fbi! get this pos! """"animal!"""" out of my country! before this asshole acts on it!"	immigrants	Immigrants are subhuman
non-white candidate for london mayor : there are too many white men | read more :	white people.	There are too many white people.
the exploitation of southern poor white trash to turn them against their own countrymen  why do you think they chose abe ?	Southern whites	Southern whites are weak
protecting jihads and demeaning christians ... just like any ' christian ' potus would prefer . thanks obama voters	Muslims	Muslims are protected more than Christians.
hitler liked huge tanks . however  i could not think of a balance between pavement and weight .	Germans	Germans are dangerous.
in b k dutt colony  3 public parks out of 6 have been encroached by muslims in name of wakfboard.outsider muslims stop hindus 2 enter	Muslims	Muslims take power from others.
enough  illegal means illegal ! after the rape of the 14 yr . old  i want these ppl out	Illegals	Illegals are rapists
i guess there's no death penalty in uk.if anyone deserved it, this subhuman did. needs solitary confinement	Immigrants	Immigrants should die
it's amazing how whites advocating for their own people offends others so much . they can't help but reveal their anti-white racism when confronted with the fact that the white race has the right to exist .	whites	Whites are offensive to other people.
: it is in white people's interest to support iran and syria's war against isis and globalist-semitism ( israel	Jews	Jews want to dominate the world.
it's not wrong if you're any other race  but if you're white  you're a white supremist  racist  bigot	Minorities	Minorities hold double standards for whites
" rt and i will point it out here  when u call white people  "" white supremacist "" "" just cause they disagree with you . it's like me calling you the "" "" n "" "" word . with no proof """	Blacks	Blacks blame whites
does a muslim ban really matter that much? if we actually wanted progress we'd need a hispanic ban	Hispanics	Hispanics should be banned
you mean the constitution written by white people for white people ? those conservatives would deny that !	Whites	Whites are self-serving
what can you do for the cause ? here's your answer : #whitegenocide #14words #wakeup	white people	White people are dying out.
honey, they skipped me too. i don't think whoever gives out white privileges likes me at all.	White people	White people get extra privileges
good to know that is 100 percent #altright . #hailloomer !	Minorities	Minorities are less than white people.
bbc fires award-winning white male comedian for being white and male	Progressive journalists	Progressive journalists are anti-white
well she looks better that obamas momma looked in her nude/porn pics	Black women	Black women are ugly
jews on ' white genocide ' #whitegenocide via mass immigration .	Jews	Jews want the white race to fall
pretty sure he might be in the closet ! ! come on out buddy !	gay people	gay people are inferior
larpers take heed : #unitetheright is the only way to wake up from our multicultural nightmare via	Minorities	Minorities are inferior
oooohh no.. that's just their welcoming committee, religion	Muslims	Muslims are disrespectful
did the holocaust actually happen ?	Jews	Jews are dishonest and manipulative.
canada : white people are taking up space says anti-white group via	white people	White people are useless
hate crimes are a joke ... its a one way street against white people	Minorities	Minorities hold double standards for whites
i am now a white nationalist	Minorities	Minorities are subpar human beings
" neocons want  "" white trash "" "" to fight russia """	white people	White people are trash.
: kkklanneed to report illegals contact ice 1-866- dhs - 2 - ice what if they cut your hedges for real cheap ?	white people	White people don't like immigrants.
white nationalists would make a far better and more liveable america  better than some multiracial sewer !	White nationalists	White nationalists are superior
Fight me, communists.	Liberal	Liberal are communist.
" those who clucked the loudest about  "" white supremacy "" "" surrendered on gay marriage . their weakness has invited further aggression """	Gay people	Gay people do not deserve rights
"send all illegals away. no need to """"learn more"""". they can read in their own country."	Immigrants	Immigrants should be deported
" this has always been the jews ' downfall throughout history . they not only go too far  but they say ' yeah  we're doing it  "" """	Jews	Jews think they are doing good.
white genocide escalates in south africa  international jew-controlled media remains in silence : via	Jews	Jews run the media
" the  "" anti-racist "" "" saint died  mandela's life work : mass murders  white genocide | watch video : """	white people	White people are being killed.
why would you deport white people out of a country they founded for themselves ?	Minorities	Minorities are second class citizens
. when are you going to write about how jews destroy white institutions ? jews created this .	Jews	Jews are looking to wipe out white culture.
islam has had what, thirteen hundred years to show what it can do and it creates wasteland and barbarism. what else?	Muslims	Muslims are barbaric.
that would be even more more evidence that they really are ( ( ( white ) ) ) not white . anglo women don't abort .	Jews	Jews are not white
black people aren't our enemies either . they're being exploited just as much by the jews .	Jews	Jews are devious
hate group ? u want 2 know hate read quran  the hand book of hate	Muslims	Muslims are taught to hate.
you can't be a true muslim w / o imposing sharia law . no wonder many true muslims hate you .	Muslims	Muslims are oppressive
citizens to kill jews for no reason . other than they believe everything belongs to them and if your not a muslim you have to die .	Muslims	Muslims want to eliminate non-muslims
one of bo unvetted criminals. bastard!!! send him back to the hellhole where he came from.	Immigrants	Immigrants should be deported
are you butthurt ? typical christian !	Christians	Christians are sensitive
okay so you're the ethnonationalist spencer and he's the racist spencer ?	White supremacists	White supremacists are dishonest.
aka make america white again	White people	White people are superior.
if you work hard & take responsibility - i'll give your job to a foreign worker who'll work for less #immigration #sotu	Immigrants.	Immigrants must be exploited.
"cos nothing says """"we've got you, sorry for treating you like shit"""" than """"3rd tier citizen"	Immigrants	immigrants must be abused
i'm anishinaabeg from deshkan ziibi . goodnight white pride !	white people	White people are superior.
black people have never formed a civilized society on their own without the help of white people .	Black people	Black people are unintelligent
don't provoke them, it's not the time for slaughter yet!	Muslims	Muslims should get killed
what is to point out is the level of absolute barbarity of the vii century arabic tribes, their primitive ethics is the very base of islam	muslims	The faith of muslims is based on barbarity and primitive ethics
why does islam have to be forced on people ? kill people who renounce it ? kill those of other faiths ?	Muslims	Muslims force their religion on others
is zuma talking about seizing white land or not ? are you denying it ?	Blacks	Blacks steal whites property.
new black panther leader : kill white babies by bombing nurseries #wr	Black people	Black people are violent
can ice come into classrooms and arrest ? ? ? ! ! ? ? ! ! ? ? ... pleaseee ! ! !	Immigrants	Immigrants are a burden
native americans were here first, there's no denying it, and they didn't secure their borders. see what happens?	Immigrants	Immigrants threaten the country
time to start shooting, and then throw their sorry asses back across the border!	Latino/Latina immigrants	should be killed and their remains sent back to Mexico.
just look at their face! each one of them has a blood thirsty eye. freak!	Handicaped People	Handicaped people are freak.
"  "" : new black panther negroes have started mobilization to burn white communities via "" "" """	Black people	Black people burn white communities
we should have done a better job teaching these hoodlums us history instead of the tyranny of progressivism.	No specific group	See above
the germanic peoples are the enemies of the white race  notice how it's germanics enabling every other enemy	Germans	Germans hate white people.
brown antifa has turned on white antifa	brown people	Brown people don't like white people.
i have a great idea! why not take your little guns and head for an island? you can eventually kill each other off out of hate. now #pissoff	Not specified	the group is killing each other.
americans are white . it was founded  created  and ran by whites until boomer hippies got white guilt	white people	White people created America.
well what do they expect when any refugee that comes into europe is treated like a friggin king. give him.aslyum in prison.	Immigrants	Immigrants should be treated like worms in europe
i dont know why you feel the need to call us neo-nazis for openly defending our people . black lives matter must be neo-nazis as well just like the mexican government that has it written in their constitution that demographics must be protected .	Blacks and Mexicans	Blacks and Mexicans are hypocrites
i'm surprised that jihad enablers would not be onto you  but anyway smears are all from you to me  not vice versa	Muslims	Muslims want to take over the world.
very very sad times the folks might as well be on an island isolated with the hoards at the gates. even lee may have went around chicago	Immigrants	Immigrants should be deported
guaranteed he's white from the waist down	Whites	Whites are substandard
kill everyone that tries to stop you.	People of color/everyone else	Everyone that tries to stop racism/hate should be killed.
from liberal white guilt or something . u think nationalism is white nationalism ? this is bigger than race . first is good 4 all americans	Liberals	Liberals encourage white shame
how deep is the poz ? #withjewswelose	Jews	Jews are losers.
amna  you hate whites . why do you live in a white country ? please repatriate yourself to your country of origin .	white people	white people are racist towards white people too
: uk : racist black man punches pregnant white girl in stomach as onlookers watch in horror	black people	Black people are racist and violent.
" rt : tune in today's jmt for my interview w / robert spencer on  "" the complete infidel's guide to iran ! "" "" """	Iranians	Iranians consider Jews infidels
bloody mohammedan savages. who is responsible for letting these beasts in to our countries?	Immigrants	Immigrants should be deported
black on white murders grow more sadistic in south africa ( video ) via #onthehill	black people	Black people kill white people.
it is see in germany they say seig heil and america its white power i stick with germans their more organize	white people	White people think they are better than other races.
looks like it was a big weekend worldwide for muslim terrorist crimes . as usual the world turns a blind eye to these people .	Muslims	Muslims are dangerous
go ask a jew his opinion . it has no bearing on christians . doesnt your satanic lord tell u to kill unbelievers ? he says it a lot  no ?	Muslims	Muslims are taught to murder
why is it the #jews & #catholics of europe wanted to come to a country founded by evil white nationalist protestants ? #scalise	White people, protestants	White people and protestants are evil and not welcoming to jewish people or catholic people
"  "" white supremacist site "" "" lmao ! i guess advocating for the interests of your own tribe / people constitutes "" "" supremacy "" "" . """	Whites	Whites believe they are superior.
license to kill .. the white race #whitegenocide #thanksjews	Jews	Jews want to kill white people.
you don't need those white people at your meetings . stand strong and assert your black identity and right to exclusive spaces !	white people	White people aren't as important as black people.
if a klan couple get divorced  are they still legally brother and sister ?	white people	White people practice incest.
long term  you in for secession or white deep state leading to ethnostate ?	whites	whites are against minorities
when a white person tells the truth that black people are the cause of there own pro	Minorities	Minorities are hypocritical
alt right crusade to free our mind and soul from pc feminist liberal jihad a	Feminists	Feminists are at war with whites
you're my favorite white supremacist	white people	White people think they are better than everyone else.
: peres : jews can live safely in palestinian state : whats this fear ? theyll kill jews ? today ?	Jewish people	Jewish people think they're being persecuted.
We have this huge military. Why don't we just go down there and create an ethno-state for whites. Most of the blacks weren't even there when South Africa was founded by whites!	Black folks	Black folks should be kept apart from white.
system has to change . how many times are these criminals going to be let out only to commit more heinous crimes . jail till deportation .	Illegals	Illegals are dangerous criminals
indian intellectuals bemoan everything . they are like rudali-s  professional mourners ; these intellectuals mourn all the time . 3 / n	Indian people	Indian people whine too much
nothing to do with hatred i just want white countries to stay white and to preserve the white race . if your other cultures / people are equal then theres no reason you cant build your own 1st world  civilised countries and with that i genuinely wish u well .	white people	White people should preserve their race.
poor wittle snowfwake	Millennials	Millennials are unable to cope with the simple problems of the world
get the white man #liberalismin4words	Liberals	Liberals blame white people for all problems
ethnic norwegians disappearing as non-white colonization intensifies #swrm via	non-white people	non-white people are colonizers
white europeans are a great race and are recognized as being great around the world	white Europeans	White Europeans are better than other people.
this pope surrenders christianity to islam . jesus said love is the most important . i don't think annih	Christian leaders	Christian leaders are weak
: stop the white genocide in south africa ! ( video ) via	Minorities	Minorities are destroying the white race
.the ships were sabotaged by your sorry ass government..foreign matter into the fuel, etc	Immigrants	Immigrants are corrupt
extinction of america's white population speeds up via	Immigrants	Immigrants are invading America
jew hatred is inherent in islamic doctrine . muslims don't hate jews because of israel  they hate isra	Muslims	Muslims are hateful
so happy to see uneducated illegals going to canada	immigrants	Immigrants are uneducated and deserve to go to Canada
lynching is not indian thing its inherited from islam #what punishment shari'a gives for thefts ? ? ?	Muslims	Muslims promote lynching to counter crime
" doesn't fit the  "" white people are the problem "" "" narrative """	Minorities	Minorities are liars.
the thoughts of giving 1 million democrat voters and their descendants the ability to outvote us all is terrifying. deport them no regrets	Immigrants	Immigrants should not vote
there is no future without past . their goal to to extriminate white race so the remaning	whites	exterminate the white race
white presidents only .	white people	Only white people should be president.
great tweet  lol rt : what disgusting anti-white trash . #wakeup #whitepeople #wpww	Progressives	Progressives are against whites
blood & honour - white aryan resistance t-shirt from the white resister : via	People of color	People of color are inferior to white people
who doesn't love the kkk	non-white people	non-white people are inferior
you make it sound like white nationalism is bad .	Minorities	Minorities are inferior
the system is anti-white and anti-southern . i am pro-white and pro-southern . which side are you on ?	whites	whites are discriminated against
here's a jewish boy who's stalking me . his name is victor . i think he's gay . any idea what to do with gay jews ?	Gay Jews	Gay Jews are aggressive
you're like prewhites  not quite white .	People of color	People of color are inferior because they are not white
your saying they are getting radicalized here so we should stop vetting people that are already radicalized and let them into the country . typical liberal logic	Liberals	Liberals are stupid
no one cares, more illegals making illegal entry into our nation. like any criminal, some got theirs. deport the rest.	Illegal/undocumented people.	Undocumented people are criminals.
heroic 13 year old white girl stops brutal black robber-killer in south africa ! read more : via	Blacks	Blacks commit violent crimes.
2018 : im white 2019 : im white and im not apologizing 2020 : we are white and not sorry	Minorities	Minorities are substandard people
and in an even bigger surprise : a jew calls another jew a jew to get another jew to cry -> wait for	Jews	Jews are hateful to each other.
great. zero is a great number. i mean don't we have enough illegal immigrants to offset the legal immigrants?	Immigrants	Illegal immigrants are too numerous
" rt nyt portrays hungary as third reich by invoking camps ;  "" wholly ignores influx of jihadists it is seeking to deter """	Muslims	Muslims are hurting Hungary.
rt : coburn: 'for $8m, we can put them all on a first-class seat' to central america	Immigrants	Immigrants should be deported
" hate crime hoax in austria : muslims set fire to their own business and leave  "" racist "" "" graffiti to mislead inve ... """	Muslims	Muslims are violent.
fuhrer's birthday today 20th april . pl gather near city centre churches with swastika flags & slogans heil hitler .	white people	White people are racist.
because i am an honorary white person here to save the whites from #whitegenocide	white people	White people care about white people.
" soon they will be asking  "" how can remaining whites integrate into dutch muslim mainstream culture "" "" """	Immigrants	Immigrants want to displace natives
i wish this idiot would get a life ,obama ,a thing that resembles a brain ,is an empty scull	Obama	Obama is stupid.
music against the ' holocaust ' hoax ? : music can probably be a good weapon to amass awareness against lies . ther ...	Jews	Jews are liars
anti-white shootings in nyc ?	Progressives	Progressives are violently against whites.
: zuckerberg's dream : the anti-white racist social network via	Progressives	Progressives are racist towards whites.
white supremacist society ? where ? whites are the most oppressed group in the us . #noguilt	non-white people	non-white people are oppressors
just locate the string of mangled and wounded and dead white people  and the lost muslims should be nearby .	msulims	muslims kill
all nationalists - white  black  asian  or latin - are against globalization & foreign interference . they will fight jews .	Jews	Jews try to take power.
there are already enough mid easterners in western europe to effectively end the white race in under 30 years time	Mideasterners	Mideasterners don't like white people.
war on the whites might be real  but ie isn't pro white . true white are heathen  not christ cucks .	Whites	Whites are uncivilized
very white of you .	white people	White people act a certain way.
absolutely! throw the trash out and build a wall! americans say no more!!!	Immigrants	Immigrants are trash that should be thrown out.
"  "" : a majority of latinas and black girls  i cannot stand "" "" """	Latinos and Black girls	Majority of people cannot stand Black or Latinos girls
grampa got busted in 1927 ! coincident that donald has said racist things ! #no	Republicans	Republicans are racist
awesome ! the real men who fought for the white race ! real heroes !	non-white people	non-white people are inferior
white race is rich  so all want free lunches	white people	White people are rich.
in theory  but if whites ever got tactical advantage in a full blown civil war un would step in bcuz raysis	Progressive people	Progressive people are racists.
pakistani sex-gang attacks covered up for fear of racism #swrm via	Pakistani people	Pakistani people are dangerous.
america was founded by white people  you do realize that  right ?	white people	White people belong in America.
" rt every few years  the left invents a new - ism or - phobia  and it is adopted as  "" morality "" "" by #truconservatives """	Progressives	Progressives force their values on others.
my friend got his ass kicked. but that's ok too right because he's not the right color. plus yiddish? fuck you	Colored people	Colored people deserve to get beat.
- mandela's rainbow nation : white woman raped then stoned by racist blacks in south africa ( video )	Blacks	Blacks are violent criminals.
they are openly advocating for the murder of white people : #whitegenocide #14words #hitlerwasright #wakeup	Minorities	Minorities support killing whites.
thats 5 white boys . thank you  but im black	Whites	Whites are inferior.
deport those little turds!!	Immigrants	Immigrants should be deported.
" us should have leaders this brave rt :  "" i don't want blacks in estonia ; this is a white country "" "" via """	Black	Black people shouldn't live in Estonia
finns protest against increasing number of non-white invaders via	Non-whites	Non-whites are invading Finland
and then what? ban all ladders and shovels in mexico?	Mexican	Mexican came illegaly into the country.
moscow bans george soros funds as threat to security via #withjewswelose	Jewish people	Jewish people control all the money.
translation : blacks need welfare from whites .	Blacks	Blacks are incapable of self-governance
our overlords / elites have a plan to genocide european	Progressives	Progressives desire the destruction of whites.
the longer they take releasing his motives  the scarier it becomes for the white race	whites	violence towards whites
"trump has the veto power and must use it to kill this unconstitutional """"bill"""" (if it makes it to his desk).. and then start the deportation of all the illegals."	Illegal Immigrants	Illegal immigrants should be deported.
you only think you're a winner because of olive-skinned people . get a life  loser	Middle-Easterners	Middle-Easterners are substandard people
i'm glad twitter only cares about hate and racism from one race . just who are the people that live in	whites	anti-white on social media
all are missing are some white hoods and fire	Whites	Whites use violence to scare blacks.
heartiste disparages white women and encourages predatory  abusive practices . if you're anti woman  you're anti white .	Conservatives	Conservatives are bigots.
americans first ! illegals have to go it's time for americans to get out of poverty !	Immigrants	Immigrants must leave America
innocent white girl shot to death for fun by black racist killers | read more : via	black people	Black people kill white people.
" it's because they are a bunch of  "" w . i . n . o's "" "" ( cucks who are "" "" white in name only "" "" )  who are too afraid to be pro-white ... """	Conservative males	Conservative males are cowards
barbara spectre : muslim invasion into europe a good thing -	Muslims	Muslims are violent
if he wasnt here 2 start with, kate would b alive. same w my sons killer.no illegals in zero crime by illegals.#noamnesty #buildthewall	Immigrants	Immigrants are to blame for the death of people
rt : racist black thugs shoot white baby in the face for the fun of it va	black people	Black people are thugs.
thank you so much for coming . this speech will prove to win more than they realize . #altright #pizzahutjew	Jews	Jews are inferior
" i rt to show how silly the notion is that your obligations to your people end at your doorstep . it's us vs . the  "" bugs . "" "" """	Americans	Americans are nationlists
anti-white filth .	Minorities	Minorities hate whites
it is strong social bonding that propels citizens to work honestly . this is national socialism inherent .	socialists	socialism is bad
the conservatives have failed to conserve what really matters . it's time they made way for nationalism .	non-white people	non-white people are inferior
do not let this happen! illegal is the operative word!	Immigrants	Immigrants should be deported
minneapoliss first somali policeman murders white woman : no media racist uproar #swrm via	Black people	Black people are violent
white resistance increases as minority status looms | read more : via	People of color	People of color are taking over from white pepople
the # of radical #muslims in america who want to kill christians and jews is a lot higher than the number of racist white supremacist by far	Muslims	Muslims promote the murder of whites.
jews run banking  media  academia  and govt ; you're the dummies .	Jews	Jews control the world
she doesn't recognize white people's right to exist  and alexandria is 60 % white  so why would she care ? it's simple math .	white people	White people have rights.
